code,description,concept_id,vocabulary_id,domain_id,standard_concept
04.04.04.02,Intraluminal dilation of the inferior vena cava,,,,Non-standard
DHAF004,"Intraluminal dilation of the inferior vena cava with stent grafting, via the transcutaneous venous route",,,,Non-standard
DHAF002,"Intraluminal dilation of the inferior vena cava without stent insertion, by the transcutaneous venous route",,,,Non-standard
DAAF002,"Intraluminal dilation of the infraaortic ejection tract, via the transcutaneous arterial route",,,,Non-standard
04.03.14.01,Intraluminal dilation of the internal iliac artery,,,,Non-standard
EDAF006,"Intraluminal dilation of the internal iliac artery with stent grafting, via the transcutaneous arterial route",,,,Non-standard
EDAF004,"Intraluminal dilation of the internal iliac artery without stent grafting, via the transcutaneous arterial route",,,,Non-standard
EAAF002,"Intraluminal dilation of the internal intracranial carotid artery trunk with stent grafting, via the transcutaneous arterial route",,,,Non-standard
EAAF004,"Intraluminal dilation of the internal intracranial carotid artery trunk without stent grafting, by the transcutaneous arterial route",,,,Non-standard
EAAF903,"Intraluminal dilation of the intracranial vertebral artery or basilar artery without stent grafting, via the transcutaneous arterial route",,,,Non-standard
EAAF902,"Intraluminal dilation of the intracranial vertebral artery or of the basilar artery with stent grafting, by the transcutaneous artery route",,,,Non-standard
DAAF001,"Intraluminal dilation of the outflow tract of the right ventricle and the pulmonary artery trunk, via the transcutaneous venous route",,,,Non-standard
04.04.08.02,Intraluminal dilation of the portal vein,,,,Non-standard
EHAF001,"Intraluminal dilation of the portal vein or of a portocave anastomosis with stent grafting, by the transcutaneous venous route",,,,Non-standard
EHAF002,"Intraluminal dilation of the portal vein or of a portocave anastomosis without stent grafting, by the transcutaneous venous route",,,,Non-standard
04.03.02.01,Intraluminal dilation of the pulmonary artery,,,,Non-standard
04.03.13.02,Intraluminal dilation of the renal artery,,,,Non-standard
04.04.06.01,Intraluminal dilation of the renal vein,,,,Non-standard
EGAF001,"Intraluminal dilation of the renal vein without stent insertion, by the transcutaneous venous route",,,,Non-standard
DBAF003,"Intraluminal dilation of the right atrioventricular orifice, via the transcutaneous venous route",,,,Non-standard
04.04.02.01,Intraluminal dilation of the superior vena cava,,,,Non-standard
DHAF001,"Intraluminal dilation of the superior vena cava with stent grafting, via the transcutaneous venous route",,,,Non-standard
DHAF003,"Intraluminal dilation of the superior vena cava without stent placement, via the transcutaneous venous route",,,,Non-standard
DGAF007,"Intraluminal dilation of the thoracic aorta with stent grafting, via the transcutaneous arterial route",,,,Non-standard
DGAF001,"Intraluminal dilation of the thoracic aorta without stent grafting, via the transcutaneous arterial route",,,,Non-standard
04.03.07.02,Intraluminal dilation of the vertebral and basilar arteries,,,,Non-standard
EASF007,"Intraluminal obliteration of an intracranial artery carrying an aneurysm in acute hemorrhagic period, by the transcutaneous arterial route",,,,Non-standard
EASF008,"Intraluminal obliteration of an intracranial artery carrying an aneurysm outside an acute hemorrhagic period, via the transcutaneous arterial route",,,,Non-standard
EASF002,"Intraluminal occlusion of a tumor-related intracranial vessel, transcutaneously vascular",,,,Non-standard
EASF012,"Intraluminal occlusion of an intracranial vessel, transcutaneously vascular",,,,Non-standard
EASF003,"Intraluminal occlusion of several tumor-related intracranial vessels, transcutaneously vascular",,,,Non-standard
PCPA002,Intramuscular fasciotomy for lengthening,,,,Non-standard
NJPA014,"Intramuscular fasciotomy for lengthening of the triceps sural muscle, by direct approach",,,,Non-standard
GASE001,"Intranasal hemostasis by cauterization or electrocoagulation, by endoscopy",,,,Non-standard
GASE002,"Intranasal hemostasis by unilateral or bilateral transmucosal injection of pharmacological agent, by endoscopy",,,,Non-standard
GAFD002,Intranasal polypectomy,,,,Non-standard
BHQP001,Intraocular pressure [tension] measurement with daylight curve comprising at least 6 measurements,,,,Non-standard
EZQH004,Intraoperative angiography,,,,Non-standard
ENFA003,Intraoperative arterial autograft harvesting for vascular bypass,,,,Non-standard
HMQH008,Intraoperative cholangiography and / or pancreaticography [wirsungography],,,,Non-standard
18.02.04.04,Intraoperative circulatory assistance,,,,Non-standard
HHQE001,Intraoperative colonoscopy,,,,Non-standard
ZZQA003,Intraoperative Doppler ultrasound,,,,Non-standard
DZQJ007,"Intraoperative Doppler ultrasound of the heart and intrathoracic vessels via the esophagus, for monitoring of cardiocirculatory failure following CPB",,,,Non-standard
DZQJ002,"Intraoperative Doppler ultrasound of the heart and intrathoracic vessels via the esophagus, to check for surgical correction of a congenital heart disease or valve disease [valvular disease]",,,,Non-standard
AAQP005,Intraoperative electrocorticographic monitoring of spontaneous and / or induced encephalic activity,,,,Non-standard
18.02.01.01,Intraoperative electroencephalographic and electrocorticographic monitoring,,,,Non-standard
AAQP008,"Intraoperative electroencephalographic monitoring on at least 8 leads, for 4 hours or more",,,,Non-standard
AAQP004,"Intraoperative electroencephalographic monitoring on at least 8 leads, for less than 4 hours",,,,Non-standard
HMQA001,"Intraoperative endoscopy of the bile ducts, by transcystic approach or by choledochotomy",,,,Non-standard
18.02.07.02,Intraoperative endoscopy of the digestive system,,,,Non-standard
DELA002,Intraoperative epicardial electrode placement without generator placement,,,,Non-standard
HEQE004,Intraoperative eso-gastro-duodenal endoscopy,,,,Non-standard
18.02.01.02,Intraoperative evoked potentials,,,,Non-standard
18.02.07.04,Intraoperative exploration of the abdominal cavity,,,,Non-standard
HGQE004,Intraoperative jejunal and / or ileal enteroscopy,,,,Non-standard
ZZQL010,Intraoperative lesion detection after injection of radioisotopic product,,,,Non-standard
AGQP005,"Intraoperative monitoring of motor, sensory or somesthetic evoked potentials for 2 to 4 hours",,,,Non-standard
AGQP006,"Intraoperative monitoring of motor, sensory or somesthetic evoked potentials, for less than 2 hours",,,,Non-standard
AGQP004,"Intraoperative monitoring of motor, sensory or somesthetic evoked potentials, for more than 4 hours",,,,Non-standard
AHFA009,Intraoperative nerve graft harvesting from a different limb from the operated limb,,,,Non-standard
AALF002,"Intraoperative protective infusion of the encephalic parenchyma, during a procedure with SCC",,,,Non-standard
18.02.04.05,Intraoperative recovery of circulation,,,,Non-standard
HBDD007,Intraoperative restraint of dental arches by means other than a continuous vestibular arch,,,,Non-standard
HBDD008,Intraoperative retention of dental arches by continuous vestibular arch,,,,Non-standard
HBDD014,"Intraoperative retention of the dental arches by a continuous vestibular arch on one, by other means on the other",,,,Non-standard
ZZHA001,Intraoperative sample for extemporaneous cytological and / or anatomopathological examination,,,,Non-standard
ZZQA002,Intraoperative ultrasound,,,,Non-standard
18.02.04.01,Intraoperative ultrasound of the heart and intrathoracic vessels,,,,Non-standard
18.02.04.03,Intraoperative vascular autograft harvesting,,,,Non-standard
EPFA006,Intraoperative venous autograft harvesting for vascular bypass,,,,Non-standard
18.02.04.06,Intraoperative vessel occlusion and resection,,,,Non-standard
18.02.07.01,Intraoperative x-ray of the mouth or digestive system,,,,Non-standard
LBFA031,Intraoral bone hypertrophy resection,,,,Non-standard
07.02.06.02,Intraoral collection evacuation,,,,Non-standard
HAJD003,"Intraoral dressing under general anesthesia, following an act on the oral cavity",,,,Non-standard
HBQK061,"Intraoral retroalveolar and / or retrocoronary x-ray of a sector of 1 to 3 contiguous final teeth for endodontic or intra-interventional and / or final therapeutic act, apart from an endodontic therapeutic act",,,,Non-standard
HBLD004,Intraoral topical application of fluorides,,,,Non-standard
07.02.06.01,Intraoral wound treatment,,,,Non-standard
BKLA003,Intraorbital autografting for enophthalmos correction,,,,Non-standard
02.05.02.01,Intraorbital injection,,,,Non-standard
BKLB001,"Intraorbital, retrobulbar or laterobulbar therapeutic injection of pharmacological agent",,,,Non-standard
PALB900,Intraosseous marrow injection,,,,Non-standard
JJLJ001,"Intraovular injection of pharmacological agent for ectopic pregnancy, transvaginal with ultrasound guidance",,,,Non-standard
HPLB003,"Intraperitoneal administration of anticancer pharmacological agent with hyperthermia [Intraperitoneal anticancer chemohyperthermia], under general anesthesia",,,,Non-standard
07.06.04,Intraperitoneal balloon placement,,,,Non-standard
07.06.01,Intraperitoneal injection,,,,Non-standard
HPLB002,"Intraperitoneal injection of anticancer pharmacological agent, by transcutaneous route",,,,Non-standard
JJFC003,"Intraperitoneal ovarian cystectomy, by laparoscopy",,,,Non-standard
GGLB008,"Intrapleural administration session of anticancer pharmacological agent, by an implanted device",,,,Non-standard
06.03.07,Intrapleural injection,,,,Non-standard
GGLB001,"Intrapleural injection of anticancer pharmacological agent, by transcutaneous route",,,,Non-standard
GGLB002,"Intrapleural injection of pharmacological agent, via the skin",,,,Non-standard
GGLC001,"Intrapleural instillation of irritant, by thoracoscopy",,,,Non-standard
JANE002,"Intrarenal fragmentation of inferior calcic calculus with shock waves or laser [Intrarenal lithotripsy], by ureteronephroscopy",,,,Non-standard
ZZLF900,"Intrarterial locoregional administration session of anticancer pharmacological agent by an implanted device, without CEC, without hyperthermia",,,,Non-standard
AFLB013,"Intrathecal administration session of anticancer pharmacological agent, by an implanted device",,,,Non-standard
AFLB003,"Intrathecal injection of anticancer pharmacological agent, by the transcutaneous route",,,,Non-standard
ANLB004,"Intrathecal injection of pharmacological agent for analgesia, with diagnostic and prognostic evaluation",,,,Non-standard
AFLH002,"Intrathecal therapeutic injection of pharmacological agent, by the transcutaneous route with radiological guidance",,,,Non-standard
AFLB006,"Intrathecal therapeutic injection of pharmacological agent, by the transcutaneous route without guidance",,,,Non-standard
18.02.06.02,Intrathoracic flap during intrathoracic surgery,,,,Non-standard
GEGE003,"Intratracheal and / or intrabronchial foreign body ablation, by endoscopy",,,,Non-standard
GEGE001,Intratracheal and / or intrabronchial foreign body removal by rigid tube bronchoscopy,,,,Non-standard
GEJD001,"Intratracheal aspiration of a newborn at birth, in the presence of meconium amniotic fluid",,,,Non-standard
06.02.06.08,Intratracheobronchial injection and aspiration,,,,Non-standard
JSEC001,"Intratubary embryo transfer, by laparoscopy",,,,Non-standard
JSLD001,Intrauterine artificial insemination,,,,Non-standard
JSED001,"Intrauterine embryo transfer, vaginally",,,,Non-standard
JNBD002,"Intrauterine or intravaginal tamponade, for obstetric hemorrhage",,,,Non-standard
EZNF900,"Intravascular irradiation, in the course of a dilation of the vessel by the transcutaneous vascular route",,,,Non-standard
HDMA010,Intravellar secondary veloplasty,,,,Non-standard
EPLF001,Intravenous administration of pharmacological agent and / or fluid in the newborn at birth,,,,Non-standard
EQLF002,"Intravenous infusion of filler at a rate greater than 50 milliliters per kilogram [ml / kg] in less than 24 hours, in adults",,,,Non-standard
FELF009,Intravenous injection of a cell therapy product for allogeneic transplantation,,,,Non-standard
FELF010,Intravenous injection of a cell therapy product for autograft,,,,Non-standard
JZQH003,Intravenous urography with permictional urethrocystography,,,,Non-standard
JZQH002,Intravenous urography without permictional urethrocystography,,,,Non-standard
DAFA007,"Intraventricular cardiac muscle resection, by thoracotomy with CEC",,,,Non-standard
ABLB006,"Intraventricular or intracystic cerebral administration of an anticancer pharmacological agent, by an implanted device",,,,Non-standard
JEAA001,Intravesical lengthening of the urethra,,,,Non-standard
BGGA005,Intravitreal silicone oil ablation,,,,Non-standard
06.02.06.03,Intubation and placement of a tracheobronchial medical device,,,,Non-standard
ZZQL003,Iodine-131 whole body scan,,,,Non-standard
QZLP001,Iontophoresis session [iontophoresis] for hyperhidrosis,,,,Non-standard
BENP001,Iridocorneal angle photocoagulation session with laser,,,,Non-standard
BEFA009,Iridocyclectomy for ciliary body tumor,,,,Non-standard
BEPP002,Iridotomy with laser,,,,Non-standard
BEFA001,Iris lesion resection,,,,Non-standard
YYYY599,Irradiation by accelerator cyclotherapy by fraction of 0.9 Grays for beams of 25 MeV or more,,,,Non-standard
YYYY267,Irradiation by accelerator cyclotherapy by fraction of 12 centiGrays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY256,Irradiation by accelerator cyclotherapy by fraction of 14 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY122,Irradiation by telecobalt cyclotherapy by fraction of 2.8 Grays for the beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY566,Irradiation in cyclotherapy by accelerator by fraction of 1.2 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY223,Irradiation in cyclotherapy by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY577,Irradiation in cyclotherapy by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY175,Irradiation in cyclotherapy by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY056,Irradiation in cyclotherapy by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY053,Irradiation in cyclotherapy by accelerator by fraction of 2.5 Grays for the beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY055,Irradiation in cyclotherapy by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY141,Irradiation in cyclotherapy by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY052,Irradiation in cyclotherapy by accelerator by fraction of 25 centiGrays for the beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY054,Irradiation in cyclotherapy by accelerator by fraction of 25 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY051,Irradiation in telecobalt cyclotherapy by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY555,Irradiation in telecobalt cyclotherapy by fraction of 28 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY493,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.2 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY492,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.2 Grays for beams from 17 to 24.9 MeV, including 2 volumes",,,,Non-standard
YYYY305,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.2 Grays for beams from 17 to 24.9 MeV, including 3 volumes",,,,Non-standard
YYYY316,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.2 Grays for beams from 17 to 24.9 MeV, including 4 volumes",,,,Non-standard
YYYY331,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY337,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV, including 2 volumes",,,,Non-standard
YYYY348,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV, including 3 volumes",,,,Non-standard
YYYY359,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV, including 4 volumes",,,,Non-standard
YYYY450,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 centiGrays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY459,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 centiGrays for beams from 17 to 24.9 MeV, including 2 volumes",,,,Non-standard
YYYY470,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 centiGrays for beams from 17 to 24.9 MeV, including 3 volumes",,,,Non-standard
YYYY481,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 centiGrays for beams from 17 to 24.9 MeV, including 4 volumes",,,,Non-standard
YYYY320,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY327,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV, including 2 volumes",,,,Non-standard
YYYY338,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV, including 3 volumes",,,,Non-standard
YYYY349,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV, including 4 volumes",,,,Non-standard
YYYY299,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY304,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV, including 2 volumes",,,,Non-standard
YYYY315,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV, including 3 volumes",,,,Non-standard
YYYY326,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV, including 4 volumes",,,,Non-standard
YYYY370,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY377,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 Grays for beams from 8 to 16.9 MeV, including 2 volumes",,,,Non-standard
YYYY381,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 Grays for beams from 8 to 16.9 MeV, including 3 volumes",,,,Non-standard
YYYY398,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 14 Grays for beams from 8 to 16.9 MeV, including 4 volumes",,,,Non-standard
YYYY380,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY387,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV, including 2 volumes",,,,Non-standard
YYYY391,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV, including 3 volumes",,,,Non-standard
YYYY458,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV, including 4 volumes",,,,Non-standard
YYYY471,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2.5 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY479,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2.5 Grays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY497,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2.5 Grays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY303,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 2.5 Grays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY307,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY347,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV, including 2 volumes",,,,Non-standard
YYYY358,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV, including 3 volumes",,,,Non-standard
YYYY369,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV, including 4 volumes",,,,Non-standard
YYYY460,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY469,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV, including 2 volumes",,,,Non-standard
YYYY480,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV, including 3 volumes",,,,Non-standard
YYYY491,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV, including 4 volumes",,,,Non-standard
YYYY390,Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 centiGrays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY392,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 centiGrays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY457,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 centiGrays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY468,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 centiGrays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY314,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 Grays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY325,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 Grays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY336,"Irradiation of 300 cm? and more in fixed fields by accelerator by fraction of 25 Grays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY310,Irradiation of 300 cm? and more in fixed fields by accelerator per fraction of 25 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY343,Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 2.8 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY335,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 2.8 Grays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY346,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 2.8 Grays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY357,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 2.8 Grays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY301,Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY302,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY313,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY324,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY367,Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY368,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 Grays for beams from 0.5 to 4.9 MeV, including 2 volumes",,,,Non-standard
YYYY379,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 Grays for beams from 0.5 to 4.9 MeV, including 3 volumes",,,,Non-standard
YYYY383,"Irradiation of 300 cm? and more in fixed fields by telecobalt by fraction of 28 Grays for beams from 0.5 to 4.9 MeV, including 4 volumes",,,,Non-standard
YYYY451,Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 0.9 Grays for beams of 25 MeV or more,,,,Non-standard
YYYY393,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 0.9 Grays for beams of 25 MeV or more, including 2 volumes",,,,Non-standard
YYYY500,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 0.9 Grays for beams of 25 MeV or more, including 3 volumes",,,,Non-standard
YYYY511,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 0.9 Grays for beams of 25 MeV or more, including 4 volumes",,,,Non-standard
YYYY360,Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 centiGrays for beams of 25 MeV or more,,,,Non-standard
YYYY365,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 centiGrays for beams of 25 MeV or more, including 2 volumes",,,,Non-standard
YYYY371,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 centiGrays for beams of 25 MeV or more, including 3 volumes",,,,Non-standard
YYYY382,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 centiGrays for beams of 25 MeV or more, including 4 volumes",,,,Non-standard
YYYY520,Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 Grays for beams of 25 MeV or more,,,,Non-standard
YYYY522,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 Grays for beams of 25 MeV or more, including 2 volumes",,,,Non-standard
YYYY533,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 Grays for beams of 25 MeV or more, including 3 volumes",,,,Non-standard
YYYY544,"Irradiation of 300 cm? or more in fixed fields by accelerator by fraction of 9 Grays for beams of 25 MeV or more, including 4 volumes",,,,Non-standard
YYYY244,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 0.9 Grays for beams of 25 MeV or more,,,,Non-standard
YYYY211,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 1.4 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY049,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 12 centiGrays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY345,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 12 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY048,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 14 centiGrays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY334,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 14 Grays for beams from 8 to 16.9 MeV,,,,Non-standard
YYYY152,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 2 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY047,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 20 centiGrays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY323,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 20 Grays for beams from 5 to 7.9 MeV,,,,Non-standard
YYYY046,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 25 centiGrays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY050,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 9 centiGrays for beams of 25 MeV or more,,,,Non-standard
YYYY356,Irradiation of less than 300 cm? in fixed fields by accelerator by fraction of 9 Grays for beams of 25 MeV or more,,,,Non-standard
YYYY197,Irradiation of less than 300 cm? in fixed fields by accelerator per fraction of 1.2 Grays for beams from 17 to 24.9 MeV,,,,Non-standard
YYYY136,Irradiation of less than 300 cm? in fixed fields by accelerator per fraction of 2.5 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY312,Irradiation of less than 300 cm? in fixed fields by accelerator per fraction of 25 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY099,Irradiation of less than 300 cm? in fixed fields by telecobalt by fraction of 2.8 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY045,Irradiation of less than 300 cm? in fixed fields by telecobalt by fraction of 28 centiGrays for beams from 0.5 to 4.9 MeV,,,,Non-standard
YYYY101,Irradiation of less than 300 cm? in fixed fields by telecobalt by fraction of 28 Grays for beams from 0.5 to 4.9 MeV,,,,Non-standard
ZCJD001,"Irrigation-drainage of an abdominal viscera fistula, per 24 hours",,,,Non-standard
PBLL001,Isotopic synoviorthesis of a limb,,,,Non-standard
KCFA004,"Isthmectomy of the thyroid gland, by cervicotomy",,,,Non-standard
DGCA030,"Iterative aortobifemoral bifurcated bypass [redux] without prosthesis removal, by laparotomy",,,,Non-standard
DZEA001,"Iterative heart transplantation, by thoracotomy with CEC",,,,Non-standard
PAPA002,Iterative osteotomy for premature callus during progressive lengthening of a long bone,,,,Non-standard
NFMC005,"Iterative reconstruction of the posterior cruciate ligament of the knee by synthetic ligament, by arthroscopy",,,,Non-standard
NFMA008,"Iterative reconstruction of the posterior cruciate ligament of the knee by synthetic ligament, by arthrotomy",,,,Non-standard
19.03.03,Iterative surgery,,,,Non-standard
HGQE003,Jejunal enteroscopy [Jejunoscopy],,,,Non-standard
HGQE001,Jejunal enteroscopy with ileal enteroscopy,,,,Non-standard
HGCH001,"Jejunostomy, transcutaneously with ultrasound and / or radiological guidance",,,,Non-standard
